acl 2.4.0-1
arch-install-scripts 31-1
archlinux-keyring 20260612-1
attr 2.6.0-1
audit 4.1.4-2
base 3-3
bash 5.3.15-1
binutils 2.46.1+r3+g046eeeef4721-1
brotli 1.2.0-1
bzip2 1.0.8-6
ca-certificates 20240618-1
ca-certificates-mozilla 3.125-1
ca-certificates-utils 20240618-1
coreutils 9.11-1
cryptsetup 2.8.6-1
curl 8.21.0-1
dbus 1.16.2-1
dbus-broker 37-3
dbus-broker-units 37-3
dbus-units 37-3
device-mapper 2.03.41-1
e2fsprogs 1.47.4-1
expat 2.8.2-1
file 5.48-1
filesystem 2025.10.12-1
findutils 4.10.0-3
gawk 5.4.0-1
gcc-libs 16.1.1+r346+g4e03491b401d-1
gdbm 1.26-2
gettext 1.0-2
glib2 2.88.2-1
glibc 2.43+r37+gfdf10644d6ee-1
gmp 6.3.0-3
gnulib-l10n 20241231-1
gnupg 2.4.9-1
gnutls 3.8.13-2
gpgme 2.1.2-1
grep 3.12-2
gzip 1.14-2
hwdata 0.408-1
iana-etc 20260530-1
icu 78.3-1
iproute2 7.1.0-1
iptables 1:1.8.13-1
iputils 20250605-1
jansson 2.15.0-1
json-c 0.19-1
kbd 2.10.0-1
keyutils 1.6.3-4
kmod 34.2-1
krb5 1.22.2-1
leancrypto 1.7.2-1
libarchive 3.8.8-2
libasan 16.1.1+r346+g4e03491b401d-1
libassuan 3.0.0-1
libatomic 16.1.1+r346+g4e03491b401d-1
libbpf 1.7.0-1
libcap 2.78-1
libcap-ng 0.9.3-1
libelf 0.195-1
libevent 2.1.12-5
libffi 3.6.0-1
libgcc 16.1.1+r346+g4e03491b401d-1
libgcrypt 1.12.2-1
libgfortran 16.1.1+r346+g4e03491b401d-1
libgomp 16.1.1+r346+g4e03491b401d-1
libgpg-error 1.61-1
libhwasan 16.1.1+r346+g4e03491b401d-1
libidn2 2.3.8-1
libksba 1.8.0-1
libldap 2.6.13-1
liblsan 16.1.1+r346+g4e03491b401d-1
libmakepkg-dropins 20-1
libmnl 1.0.5-2
libnetfilter_conntrack 1.1.1-1
libnfnetlink 1.0.2-2
libnftnl 1.3.1-1
libnghttp2 1.69.0-1
libnghttp3 1.17.0-1
libngtcp2 1.24.0-1
libnl 3.12.0-1
libnsl 2.0.1-2
libobjc 16.1.1+r346+g4e03491b401d-1
libp11-kit 0.26.2-1
libpcap 1.10.6-1
libpsl 0.21.5-2
libquadmath 16.1.1+r346+g4e03491b401d-1
libsasl 2.1.28-5
libseccomp 2.6.0-1
libsecret 0.21.7-1
libssh2 1.11.1-5
libstdc++ 16.1.1+r346+g4e03491b401d-1
libsysprof-capture 50.0-2
libtasn1 4.21.0-1
libtirpc 1.3.7-1
libtsan 16.1.1+r346+g4e03491b401d-1
libubsan 16.1.1+r346+g4e03491b401d-1
libunistring 1.4.2-1
libusb 1.0.30-1
libverto 0.3.2-6
libxcrypt 4.5.2-1
libxml2 2.15.3-1
licenses 20240728-1
linux-api-headers 7.1-1
lmdb 0.9.35-1
lz4 1:1.10.0-2
mpfr 4.2.2-1
ncurses 6.6-2
nettle 4.0-1
nftables 1:1.1.6-3
npth 1.8-1
openssl 3.6.3-1
p11-kit 0.26.2-1
pacman 7.1.0.r9.g54d9411-2
pacman-mirrorlist 20260610-1
pam 1.7.2-2
pambase 20260616-1
pciutils 3.15.0-1
pcre2 10.47-1
pinentry 1.3.2-2
popt 1.19-2
procps-ng 4.0.6-2
psmisc 23.7-2
readline 8.3.003-1
sed 4.10-1
shadow 4.19.4.arch1-1
sqlite 3.53.3-1
systemd 261.1-1
systemd-libs 261.1-1
systemd-sysvcompat 261.1-1
tar 1.35-2
tpm2-tss 4.1.3-1
tzdata 2026b-1
util-linux 2.42.2-1
util-linux-libs 2.42.2-1
xz 5.8.3-1
zlib 1:1.3.2-3
zstd 1.5.7-3
